pos_id	gene_name	gene_peak_link	h3k27ac	peak_log2fc	avg_replicate_cpm	rna_log2fc	rna_padj	tfs_bound	h3k27ac_au_enriched
chr1:8880151-8880900	ENO1	promoter	TRUE	-1.2657992154547528	5.77991529661136	-0.465194187971452	7.86405306121577e-10	NA	NA
chr1:10032301-10033800	UBE4B	promoter	TRUE	-0.3626225349893563	17.36653476719715	-0.153738967803045	0.0111059486129269	NA	NA
chr1:15834301-15836550	SPEN	promoter	TRUE	-0.373220103111533	22.141057612706373	-0.258182971064813	5.0741999630687e-4	NA	NA
chr1:62687401-62688750	DOCK7	promoter	TRUE	-0.8857220435606962	7.567610045579427	-0.447749211465337	7.28206628692732e-9	NA	NA
chr1:99766351-99766800	FRRS1	promoter	TRUE	-0.460603488353108	3.1172390877560976	0.353757711942972	0.0255478357173529	NA	NA
chr1:116109601-116112150	MAB21L3	promoter	TRUE	-0.6467224869611589	8.389290424568273	0.155062491963669	0.305860400531219	HIC2_MA0738.2,THRA_MA1969.2	NA
chr1:151510051-151514850	CGN	promoter	TRUE	-0.7970653903021623	36.151462712153055	0.48424282327256607	2.09859606901918e-8	NA	NA
chr1:151539301-151541400	TUFT1	promoter	TRUE	-0.40755952522724614	33.40582959465685	0.25504006521859	5.0170436655766e-4	NA	NA
chr1:151992301-151994400	S100A10	promoter	TRUE	-0.42187950957583475	26.06927785690062	0.034619603076008	0.555366234215833	NA	NA
chr1:153966601-153969150	CREB3L4	promoter	TRUE	-0.408740466696115	30.967422994847972	0.864203578792495	2.3743593914718996e-12	NA	NA
chr1:153966601-153969150	SLC39A1	promoter	TRUE	-0.408740466696115	30.967422994847972	0.4128502198649339	2.65803635047578e-7	NA	NA
chr1:163321651-163322400	RGS5	promoter	TRUE	-0.6797884258605221	9.502411729539412	-0.0519689959417562	0.551545553776741	NA	NA
chr1:173867401-173869200	ZBTB37	promoter	TRUE	-0.5251372301685207	26.45461297016365	-0.398001633661059	0.0232676713910451	NA	NA
chr1:200409601-200410950	ZNF281	promoter	TRUE	-0.8469463909112016	7.521143277060172	-0.138978789237597	0.0572299933037992	NA	NA
chr1:207031501-207033600	PFKFB2	promoter	TRUE	-0.5452257736039956	26.00309200247226	0.165119885880332	0.0109857709610053	Arid3a_MA0151.1,ASCL1_MA1631.2,Atf3_MA1988.2,Bach1Mafk_MA0591.2,BATF3_MA0835.3,BATFJUN_MA0462.3,BATF_MA1634.2,Bhlha15_MA1472.3,BHLHE22_MA1635.2,BNC2_MA1928.2,CTCFL_MA1102.3,CTCF_MA0139.2,CTCF_MA1929.2,DPRX_MA1480.2,E2F6_MA0471.3,EBF1_MA0154.5,Ebf4_MA2122.1,ELK1HOXA1_MA1931.1,ERFFIGLA_MA1934.2,ERFFOXI1_MA1935.2,ERFFOXO1_MA1936.2,Erg_MA0474.4,ETV2FIGLA_MA1941.2,ETV2FOXI1_MA1942.2,ETV5FIGLA_MA1945.2,ETV5FOXI1_MA1946.2,ETV5FOXO1_MA1947.2,EWSR1-FLI1_MA0149.1,FIGLA_MA0820.2,FLI1FOXI1_MA1950.2,FOSL1JUN_MA1128.2,FOSL1_MA0477.3,FOSL2_MA0478.2,FOXB1_MA0845.1,FOXC1_MA0032.2,FOXC2_MA0846.2,FOXE1_MA1487.3,FOXO1ELF1_MA1953.2,FOXO1ELK1_MA1954.2,FOXO1ELK3_MA1955.2,FOXO1FLI1_MA1956.2,GABPA_MA0062.4,GATA1TAL1_MA0140.3,GRHL1_MA0647.2,GRHL2_MA1105.3,Hand1_MA2123.1,HAND2_MA1638.2,HIC2_MA0738.2,HNF4A_MA0114.5,HNF4G_MA0484.3,HOXA7_MA1498.3,HOXB2ELK1_MA1957.1,HSF4_MA0771.1,IKZF1_MA1508.2,JUNB_MA0490.3,JUND_MA0491.3,JUNJUNB_MA1132.2,Jun_MA0489.3,KLF10_MA1511.2,KLF12_MA0742.2,KLF14_MA0740.2,KLF17_MA1514.2,KLF1_MA0493.3,KLF2_MA1515.2,KLF4_MA0039.5,KLF5_MA0599.1,KLF6_MA1517.2,KLF7_MA1959.2,KLF9_MA1107.3,Lhx3_MA0135.2,MAFA_MA1521.2,Mafg_MA0659.4,MAFGNFE2L1_MA0089.3,MAFK_MA0496.4,MAFNFE2_MA0501.2,MAZ_MA1522.2,MGAEVX1_MA1960.2,MITF_MA0620.4,MSC_MA0665.1,MXI1_MA1108.3,MYC_MA0147.4,MYF5_MA1641.2,MYOD1_MA0499.3,MYOG_MA0500.3,NEUROD1_MA1109.2,Neurod2_MA0668.3,Neurod2_MA1993.2,Nfat5_MA0606.3,Nfatc1_MA0624.3,NFATC3_MA0625.3,Nfe2l2_MA0150.3,NFYA_MA0060.4,NFYB_MA0502.3,NFYC_MA1644.2,NR1D1_MA1531.2,Nr2F6_MA0728.1,Olig2_MA1997.2,PATZ1_MA1961.2,PBX3_MA1114.2,PKNOX2_MA0783.1,Plagl1_MA1615.2,PLAGL2_MA1548.2,PpargRxra_MA0065.3,Prdm5_MA1999.2,PRDM9_MA1723.2,Ptf1A_MA1619.2,Ptf1A_MA1620.2,RARA_MA0729.1,RARA_MA0730.1,RARARXRA_MA0159.1,Rarb_MA0857.1,Rarg_MA0859.2,RELA_MA0107.1,RELB_MA1117.2,REL_MA0101.1,REST_MA0138.3,RORA_MA0072.2,RREB1_MA0073.2,RUNX3_MA0684.3,SATB1_MA1963.2,SNAI1_MA1558.2,SNAI2_MA0745.3,SNAI3_MA1559.2,SP1_MA0079.5,SP2_MA0516.3,SP4_MA0685.2,SP5_MA1965.2,SP8_MA0747.2,Spi1_MA0080.7,SPIC_MA0687.2,Spz1_MA0111.1,TAL1TCF3_MA0091.2,TBX5_MA0807.1,Tcf12_MA0521.3,Tcf21_MA0832.2,TEAD1_MA0090.4,TFAP2A_MA0003.5,TFAP2C_MA0814.3,TFAP4ETV1_MA1966.2,TFAP4FLI1_MA1967.2,TFAP4_MA0691.1,Tfcp2l1_MA0145.2,TFCP2_MA1968.2,TGIF1_MA0796.1,TGIF2LX_MA1571.1,TGIF2LY_MA1572.1,TGIF2_MA0797.1,THRB_MA1575.2,TWIST1_MA1123.3,Twist2_MA0633.3,USF1_MA0093.4,ZBED4_MA2328.1,ZBTB18_MA0698.2,ZEB1_MA0103.4,ZFP14_MA1972.1,ZIC1_MA0696.1,ZIC4_MA0751.2,ZKSCAN1_MA1585.2,ZKSCAN5_MA1652.2,ZNF148_MA1653.2,ZNF184_MA2120.1,ZNF189_MA1725.2,ZNF211_MA1974.2,ZNF213_MA2121.1,ZNF263_MA0528.3,ZNF281_MA1630.3,ZNF324_MA1977.2,ZNF341_MA1655.2,ZNF382_MA1594.1,ZNF416_MA1979.2,ZNF418_MA1980.1,ZNF449_MA1656.2,ZNF460_MA1596.1,ZNF530_MA1981.2,ZNF549_MA1728.2,ZNF667_MA1984.2,ZNF684_MA1600.2,ZNF701_MA1987.2,ZNF740_MA0753.3,ZNF768_MA1731.2,ZNF76_MA1716.2,ZNF784_MA1717.2,ZNF816_MA1719.2	TRUE
